[21-Feb-2018 17:10:41 UTC] PHP Parse error:  syntax error, unexpected ',' in /home/ubuntu/workspace/Assignment/2/inc/functions.php on line 21
[07-Apr-2018 06:48:56 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:49:25 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:49:25 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:49:49 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:49:49 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:49:58 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:49:58 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:50:07 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:50:07 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:50:17 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:50:17 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:50:25 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:50:25 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:50:36 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:50:36 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:50:52 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:50:52 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:51:21 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:51:21 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:56:41 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:56:41 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:56:52 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:56:52 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:57:54 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
